               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042656,            0.055896,            0.035076,             0.44453,             0.47341,             0.41422,             0.21521,            0.015667,            0.013303,            0.014543,            0.070016,           0.0033315,           0.0033315
                   1,               0.029,            0.033472,            0.030038,             0.57966,             0.68431,             0.74902,             0.61063,           0.0068943,            0.010389,            0.010525,            0.039576,            0.006225,            0.006225
                   2,            0.024323,            0.028336,            0.025318,             0.75257,               0.959,             0.89091,             0.68417,           0.0084818,             0.01171,           0.0059308,           0.0086964,           0.0086784,           0.0086784
                   3,            0.020458,             0.02528,            0.020836,             0.78737,             0.96371,             0.89824,              0.8194,           0.0080603,            0.009824,           0.0038902,             0.00802,             0.00802,             0.00802
                   4,            0.017231,            0.022956,            0.015352,             0.87759,              0.9867,             0.98947,             0.82849,           0.0085563,            0.010324,           0.0030695,             0.00802,             0.00802,             0.00802
                   5,            0.015249,            0.020871,            0.011343,             0.99737,                   1,               0.995,             0.92879,           0.0057384,            0.010633,           0.0021575,             0.00736,             0.00736,             0.00736
                   6,            0.013948,            0.018973,           0.0091232,             0.99894,                   1,               0.995,             0.96742,           0.0036299,           0.0090743,           0.0014882,              0.0067,              0.0067,              0.0067
                   7,             0.01223,            0.017567,           0.0067528,             0.99877,                   1,               0.995,             0.98574,           0.0037646,            0.008768,             0.00115,             0.00604,             0.00604,             0.00604
                   8,            0.011321,            0.016726,            0.005585,             0.99918,                   1,               0.995,             0.94621,            0.004025,           0.0090401,           0.0008374,             0.00538,             0.00538,             0.00538
                   9,            0.010576,            0.015814,           0.0050068,             0.99913,                   1,               0.995,             0.95911,           0.0039825,           0.0096941,          0.00084899,             0.00472,             0.00472,             0.00472
                  10,           0.0095925,            0.014904,           0.0039003,              0.9991,                   1,               0.995,             0.97816,           0.0027589,           0.0089295,          0.00070821,             0.00406,             0.00406,             0.00406
                  11,           0.0086992,            0.013784,            0.003674,             0.99912,                   1,               0.995,             0.99309,           0.0024538,           0.0090482,          0.00058521,              0.0034,              0.0034,              0.0034
                  12,           0.0074254,              0.0124,           0.0030493,             0.99947,                   1,               0.995,             0.96299,           0.0033591,           0.0091649,          0.00046574,             0.00274,             0.00274,             0.00274
                  13,           0.0067675,            0.012177,           0.0029058,             0.99937,                   1,               0.995,             0.98248,           0.0021215,           0.0090863,          0.00040461,             0.00208,             0.00208,             0.00208
                  14,           0.0057918,            0.010876,           0.0024952,             0.99937,                   1,               0.995,             0.97904,           0.0027162,            0.010021,          0.00031731,             0.00142,             0.00142,             0.00142
